Date,Open,High,Low,Close,Adj Close,Volume
2020-06-11,113.360001,138.800003,108.760002,136.360001,136.360001,2927150
2020-06-12,126.0,147.720001,122.879997,126.91999799999999,126.91999799999999,3573375
2020-06-15,138.479996,143.080002,122.639999,123.839996,123.839996,2537525
2020-06-16,115.68,127.959999,114.800003,121.32,121.32,1588000
2020-06-17,120.0,124.760002,119.480003,121.08000200000001,121.08000200000001,947850
2020-06-18,123.0,124.400002,119.040001,119.040001,119.040001,907000
2020-06-19,116.199997,125.040001,115.32,120.959999,120.959999,1415975
2020-06-22,121.91999799999999,123.440002,114.68,115.0,115.0,983700
2020-06-23,109.959999,113.760002,109.68,112.760002,112.760002,673450
2020-06-24,117.120003,125.839996,113.879997,120.559998,120.559998,2062450
2020-06-25,122.800003,125.08000200000001,115.720001,115.839996,115.839996,1143850
2020-06-26,116.199997,124.440002,115.91999799999999,123.08000200000001,123.08000200000001,1335750
2020-06-29,121.0,124.959999,116.959999,117.120003,117.120003,927875
2020-06-30,118.160004,118.360001,110.199997,111.040001,111.040001,939450
2020-07-01,109.440002,111.199997,107.160004,107.91999799999999,107.91999799999999,771925
2020-07-02,103.480003,106.839996,101.800003,106.08000200000001,106.08000200000001,830875
2020-07-06,102.639999,107.120003,102.360001,106.0,106.0,586300
2020-07-07,106.839996,109.91999799999999,103.91999799999999,109.120003,109.120003,720650
2020-07-08,107.800003,111.400002,106.519997,106.639999,106.639999,969700
2020-07-09,106.959999,113.199997,106.040001,108.400002,108.400002,1526300
2020-07-10,109.199997,111.440002,105.440002,105.639999,105.639999,1067750
2020-07-13,104.32,116.08000200000001,104.120003,115.720001,115.720001,1460775
2020-07-14,115.720001,118.08000200000001,108.68,108.839996,108.839996,2086650
2020-07-15,105.639999,110.480003,105.440002,105.959999,105.959999,1399100
2020-07-16,108.160004,108.440002,103.720001,104.040001,104.040001,1064875
2020-07-17,103.160004,104.120003,100.32,100.32,100.32,812850
2020-07-20,99.160004,99.68,94.279999,95.68,95.68,1260125
2020-07-21,93.400002,97.879997,92.360001,96.519997,96.519997,1059125
2020-07-22,97.239998,98.68,95.480003,95.480003,95.480003,861550
2020-07-23,94.800003,100.599998,94.08000200000001,98.400002,98.400002,1293100
2020-07-24,101.720001,103.199997,98.800003,98.800003,98.800003,1191175
2020-07-27,97.760002,99.040001,96.0,96.040001,96.040001,590025
2020-07-28,96.199997,97.0,92.68,95.480003,95.480003,732000
2020-07-29,94.279999,95.440002,93.239998,93.519997,93.519997,591175
2020-07-30,98.040001,102.480003,95.160004,95.720001,95.720001,1086275
2020-07-31,93.32,98.160004,93.120003,93.760002,93.760002,1044550
2020-08-03,92.839996,94.32,92.199997,93.199997,93.199997,677950
2020-08-04,93.0,93.0,90.32,90.400002,90.400002,600275
2020-08-05,89.199997,90.279999,88.400002,88.599998,88.599998,717725
2020-08-06,88.959999,89.599998,87.360001,87.599998,87.599998,550950
2020-08-07,88.839996,89.0,86.199997,87.0,87.0,812900
2020-08-10,85.839996,87.040001,84.120003,84.400002,84.400002,615850
2020-08-11,82.480003,89.0,82.08000200000001,88.360001,88.360001,1031800
2020-08-12,85.0,85.360001,82.959999,83.559998,83.559998,820075
2020-08-13,84.239998,84.720001,81.68,83.559998,83.559998,766300
2020-08-14,84.239998,85.08000200000001,83.0,83.639999,83.639999,658100
2020-08-17,81.68,82.279999,80.08000200000001,80.440002,80.440002,519275
2020-08-18,79.959999,81.720001,79.08000200000001,79.68,79.68,773100
2020-08-19,79.120003,81.760002,78.559998,81.239998,81.239998,868100
2020-08-20,84.440002,84.68,80.040001,80.360001,80.360001,811175
2020-08-21,81.760002,82.08000200000001,80.360001,80.720001,80.720001,622150
2020-08-24,78.519997,81.239998,78.32,80.440002,80.440002,741250
2020-08-25,80.800003,83.0,79.480003,79.879997,79.879997,751875
2020-08-26,79.400002,82.239998,77.519997,81.720001,81.720001,738825
2020-08-27,80.879997,90.839996,80.160004,84.32,84.32,1714050
2020-08-28,85.32,88.879997,82.519997,83.879997,83.879997,1285925
2020-08-31,86.08000200000001,88.760002,84.239998,87.879997,87.879997,1019300
2020-09-01,88.040001,90.040001,87.400002,89.480003,89.480003,864200
2020-09-02,89.199997,92.480003,88.959999,91.879997,91.879997,1459575
2020-09-03,92.760002,107.32,89.559998,104.040001,104.040001,5024750
2020-09-04,101.480003,111.68,93.559998,95.360001,95.360001,4479675
2020-09-08,102.559998,103.199997,92.440002,92.639999,92.639999,1916325
2020-09-09,90.32,91.279999,86.400002,87.959999,87.959999,1530825
2020-09-10,87.120003,91.08000200000001,86.440002,88.959999,88.959999,2281825
2020-09-11,86.599998,89.08000200000001,83.519997,83.519997,83.519997,1656475
2020-09-14,82.639999,83.440002,81.08000200000001,82.199997,82.199997,1060875
2020-09-15,81.400002,83.559998,81.0,82.160004,82.160004,1002500
2020-09-16,81.519997,81.91999799999999,79.599998,81.68,81.68,1301075
2020-09-17,84.360001,84.639999,79.639999,79.879997,79.879997,1507050
2020-09-18,79.360001,81.839996,77.639999,79.91999799999999,79.91999799999999,1417500
2020-09-21,83.32,87.360001,82.120003,82.559998,82.559998,1661225
2020-09-22,82.480003,85.32,82.32,83.120003,83.120003,804725
2020-09-23,82.720001,87.639999,82.480003,87.559998,87.559998,1342675
2020-09-24,87.639999,88.559998,84.400002,86.0,86.0,1117675
2020-09-25,86.0,86.599998,83.239998,83.68,83.68,676825
2020-09-28,82.91999799999999,84.08000200000001,82.839996,83.400002,83.400002,549725
2020-09-29,83.639999,83.639999,80.519997,81.760002,81.760002,683950
2020-09-30,80.68,82.480003,79.639999,81.639999,81.639999,966675
2020-10-01,80.760002,83.239998,80.68,82.040001,82.040001,776600
2020-10-02,86.120003,86.480003,82.959999,84.360001,84.360001,1243375
2020-10-05,83.68,84.559998,81.279999,81.879997,81.879997,643550
2020-10-06,81.160004,83.720001,79.68,82.91999799999999,82.91999799999999,1369975
2020-10-07,81.32,81.760002,79.760002,80.32,80.32,614725
2020-10-08,79.279999,79.839996,76.959999,77.160004,77.160004,828200
2020-10-09,74.720001,74.800003,73.040001,73.08000200000001,73.08000200000001,969775
2020-10-12,71.800003,73.040001,71.440002,71.720001,71.720001,683900
2020-10-13,72.519997,74.040001,72.040001,72.480003,72.480003,937525
2020-10-14,71.959999,73.0,70.720001,71.879997,71.879997,1199425
2020-10-15,74.959999,75.720001,72.279999,72.440002,72.440002,888950
2020-10-16,72.360001,73.0,71.32,72.91999799999999,72.91999799999999,600775
2020-10-19,72.599998,76.639999,72.519997,76.160004,76.160004,937875
2020-10-20,75.639999,76.480003,75.0,76.120003,76.120003,1011700
2020-10-21,75.720001,76.68,73.879997,74.279999,74.279999,969950
2020-10-22,74.199997,74.879997,71.91999799999999,72.599998,72.599998,887900
2020-10-23,72.480003,74.279999,72.199997,72.68,72.68,683150
2020-10-26,74.480003,80.480003,73.68,79.040001,79.040001,2197850
2020-10-27,79.199997,80.879997,77.800003,79.400002,79.400002,1377650
2020-10-28,85.559998,90.959999,84.519997,90.839996,90.839996,3109925
2020-10-29,89.08000200000001,90.800003,81.720001,83.199997,83.199997,1823875
2020-10-30,85.720001,88.559998,84.519997,86.91999799999999,86.91999799999999,1956375
2020-11-02,82.959999,86.199997,82.760002,85.040001,85.040001,1478400
2020-11-03,82.440002,82.959999,79.32,80.559998,80.559998,1328575
2020-11-04,77.0,77.199997,72.760002,73.480003,73.480003,2147375
2020-11-05,71.040001,72.91999799999999,70.32,72.08000200000001,72.08000200000001,1492400
2020-11-06,71.440002,71.559998,67.279999,67.400002,67.400002,1504800
2020-11-09,62.720001,65.91999799999999,59.759997999999996,65.879997,65.879997,2208150
2020-11-10,64.239998,66.559998,63.68,63.759997999999996,63.759997999999996,814100
2020-11-11,62.799999,63.599998,61.119999,62.48,62.48,832800
2020-11-12,63.32,68.08000200000001,62.560001,66.68,66.68,2310550
2020-11-13,64.480003,64.480003,61.52,62.560001,62.560001,989675
2020-11-16,61.0,63.240002000000004,60.880001,60.959998999999996,60.959998999999996,1091425
2020-11-17,62.32,62.639998999999996,59.919998,60.0,60.0,928775
2020-11-18,59.360001000000004,62.279999,58.799999,62.240002000000004,62.240002000000004,1166300
2020-11-19,61.599998,62.560001,60.119999,61.080002,61.080002,914725
2020-11-20,61.040001000000004,61.240002000000004,59.799999,60.880001,60.880001,920025
2020-11-23,60.200001,61.360001000000004,59.200001,60.119999,60.119999,900650
2020-11-24,58.959998999999996,60.16,58.84,59.200001,59.200001,856875
2020-11-25,59.32,60.0,56.919998,57.040001000000004,57.040001000000004,1016000
2020-11-27,56.48,57.799999,56.040001000000004,57.400002,57.400002,501000
2020-11-30,57.720001,59.560001,56.200001,56.279999,56.279999,969050
2020-12-01,55.799999,57.080002,55.400002,56.720001,56.720001,1019900
2020-12-02,56.919998,56.959998999999996,55.360001000000004,56.48,56.48,740300
2020-12-03,55.919998,57.560001,55.720001,56.919998,56.919998,719375
2020-12-04,56.32,56.400002,55.560001,56.080002,56.080002,763350
2020-12-07,56.68,56.959998999999996,56.119999,56.400002,56.400002,714025
2020-12-08,56.84,56.880001,54.32,54.439999,54.439999,1161850
2020-12-09,53.84,56.880001,53.360001000000004,56.400002,56.400002,1722025
2020-12-10,56.759997999999996,57.279999,55.360001000000004,56.880001,56.880001,988125
2020-12-11,58.240002000000004,60.599998,57.439999,59.040001000000004,59.040001000000004,1783600
2020-12-14,57.080002,60.48,56.599998,60.439999,60.439999,1208650
2020-12-15,59.0,59.68,57.52,57.599998,57.599998,992875
2020-12-16,57.52,58.0,55.599998,55.599998,55.599998,839575
2020-12-17,55.84,56.0,54.48,55.0,55.0,838600
2020-12-18,55.360001000000004,57.599998,55.32,56.32,56.32,1157900
2020-12-21,61.560001,63.799999,59.200001,60.400002,60.400002,2461100
2020-12-22,59.720001,60.560001,59.040001000000004,59.240002000000004,59.240002000000004,852725
2020-12-23,58.119999,58.200001,55.880001,56.959998999999996,56.959998999999996,806900
2020-12-24,56.16,56.200001,55.279999,55.400002,55.400002,396025
2020-12-28,54.48,55.200001,54.240002000000004,55.0,55.0,619625
2020-12-29,54.240002000000004,58.16,54.240002000000004,57.16,57.16,1174225
2020-12-30,56.799999,57.080002,54.84,55.0,55.0,846800
2020-12-31,55.0,55.919998,53.959998999999996,54.959998999999996,54.959998999999996,1091950
2021-01-04,54.959998999999996,61.599998,54.919998,60.200001,60.200001,3254100
2021-01-05,61.240002000000004,61.279999,57.32,57.919998,57.919998,2013825
2021-01-06,57.240002000000004,58.919998,54.16,57.560001,57.560001,3631575
2021-01-07,54.959998999999996,55.279999,54.040001000000004,54.040001000000004,54.040001000000004,1542875
2021-01-08,53.759997999999996,55.48,53.200001,53.52,53.52,1746275
2021-01-11,55.560001,57.0,54.68,56.799999,56.799999,1531450
2021-01-12,55.52,57.16,54.720001,54.880001,54.880001,1300175
2021-01-13,54.84,55.240002000000004,53.560001,54.0,54.0,932750
2021-01-14,53.599998,55.0,52.919998,54.68,54.68,1338200
2021-01-15,55.48,57.400002,54.68,56.040001000000004,56.040001000000004,1716350
2021-01-19,54.639998999999996,55.52,54.16,54.48,54.48,2011275
2021-01-20,53.759997999999996,54.52,53.119999,53.360001000000004,53.360001000000004,1778175
2021-01-21,53.400002,54.279999,52.919998,52.919998,52.919998,1050025
2021-01-22,54.32,54.599998,53.080002,53.68,53.68,1222775
2021-01-25,54.240002000000004,58.240002000000004,53.84,55.84,55.84,3092050
2021-01-26,54.919998,55.360001000000004,53.880001,54.919998,54.919998,1259550
2021-01-27,57.880001,67.400002,57.759997999999996,66.32,66.32,5760150
2021-01-28,63.439999,66.400002,61.720001,64.959999,64.959999,4875550
2021-01-29,66.480003,71.279999,62.880001,69.199997,69.199997,5129525
2021-02-01,65.800003,69.68,64.239998,65.160004,65.160004,3052025
2021-02-02,62.0,62.119999,58.919998,59.720001,59.720001,2045625
2021-02-03,58.240002000000004,59.16,56.439999,56.52,56.52,1357575
2021-02-04,55.32,55.439999,54.040001000000004,54.040001000000004,54.040001000000004,1179850
2021-02-05,53.84,55.080002,53.799999,53.919998,53.919998,1815150
2021-02-08,53.68,54.48,53.48,53.48,53.48,1681975
2021-02-09,54.200001,54.639998999999996,53.080002,53.759997999999996,53.759997999999996,1343200
2021-02-10,53.400002,56.200001,53.279999,54.52,54.52,2974350
2021-02-11,53.959998999999996,55.84,53.279999,53.279999,53.279999,1736725
2021-02-12,53.84,53.880001,51.439999,51.560001,51.560001,1898325
2021-02-16,51.84,52.68,51.080002,51.639998999999996,51.639998999999996,1843350
2021-02-17,52.880001,53.799999,50.84,50.919998,50.919998,1899575
2021-02-18,52.52,53.119999,50.799999,51.360001000000004,51.360001000000004,1751425
2021-02-19,50.799999,50.959998999999996,48.919998,49.360001000000004,49.360001000000004,2027750
2021-02-22,51.16,51.560001,49.639998999999996,51.439999,51.439999,1585875
2021-02-23,51.84,54.360001000000004,49.279999,49.32,49.32,2636575
2021-02-24,50.720001,51.200001,47.279999,47.439999,47.439999,2048275
2021-02-25,48.400002,56.32,47.639998999999996,54.799999,54.799999,5978200
2021-02-26,52.68,56.599998,51.240002000000004,52.200001,52.200001,4804725
2021-03-01,49.360001000000004,49.360001000000004,47.959998999999996,48.200001,48.200001,2337850
2021-03-02,48.68,49.240002000000004,48.0,49.0,49.0,1938275
2021-03-03,48.68,51.16,48.240002000000004,51.16,51.16,2586800
2021-03-04,50.560001,55.599998,49.400002,53.279999,53.279999,5880025
2021-03-05,51.32,54.84,49.360001000000004,49.599998,49.599998,5225675
2021-03-08,49.639998999999996,50.84,48.560001,50.799999,50.799999,2246075
2021-03-09,49.0,49.240002000000004,47.799999,48.360001000000004,48.360001000000004,1546850
2021-03-10,47.080002,48.119999,47.040001000000004,47.799999,47.799999,1299050
2021-03-11,47.0,47.119999,46.240002000000004,46.560001,46.560001,1086500
2021-03-12,47.48,47.599998,45.720001,45.759997999999996,45.759997999999996,1081375
2021-03-15,45.599998,45.919998,42.919998,43.16,43.16,1328775
2021-03-16,43.080002,43.200001,41.84,43.16,43.16,1704875
2021-03-17,43.599998,43.799999,41.16,41.200001,41.200001,1973825
2021-03-18,42.080002,43.880001,41.279999,43.560001,43.560001,1742900
2021-03-19,43.240002000000004,44.400002,41.599998,42.16,42.16,1563300
2021-03-22,41.32,41.560001,38.799999,39.0,39.0,1428250
2021-03-23,39.360001000000004,41.68,39.240002000000004,41.0,41.0,1832400
2021-03-24,40.080002,41.279999,39.279999,41.240002000000004,41.240002000000004,1281250
2021-03-25,41.560001,43.560001,39.799999,39.959998999999996,39.959998999999996,1977650
2021-03-26,39.32,40.84,37.959998999999996,38.400002,38.400002,2078900
2021-03-29,39.360001000000004,40.48,38.919998,39.48,39.48,1389325
2021-03-30,39.32,39.759997999999996,37.599998,37.639998999999996,37.639998999999996,1124150
2021-03-31,37.279999,38.119999,36.639998999999996,37.400002,37.400002,1105300
2021-04-01,36.880001,37.040001000000004,35.919998,36.240002000000004,36.240002000000004,1082225
2021-04-05,35.080002,35.639998999999996,34.919998,35.16,35.16,1026800
2021-04-06,35.200001,35.52,34.639998999999996,35.48,35.48,674475
2021-04-07,35.279999,35.400002,34.200001,34.400002,34.400002,960600
2021-04-08,33.880001,34.16,33.48,33.880001,33.880001,1121100
2021-04-09,34.119999,34.32,33.240002000000004,33.799999,33.799999,1029550
2021-04-12,34.080002,34.68,33.279999,33.279999,33.279999,964775
2021-04-13,33.32,33.439999,32.759997999999996,33.0,33.0,925500
2021-04-14,33.16,33.880001,32.880001,33.759997999999996,33.759997999999996,1368950
2021-04-15,32.959998999999996,33.080002,32.48,32.639998999999996,32.639998999999996,840925
2021-04-16,32.599998,32.880001,31.84,32.119999,32.119999,1006300
2021-04-19,32.400002,34.200001,32.240002000000004,33.240002000000004,33.240002000000004,2445675
2021-04-20,33.720001,35.16,33.439999,34.0,34.0,2118325
2021-04-21,34.240002000000004,34.639998999999996,32.040001000000004,32.240002000000004,32.240002000000004,1728725
2021-04-22,32.200001,34.799999,32.0,34.48,34.48,2942200
2021-04-23,33.880001,34.040001000000004,32.16,32.919998,32.919998,2095175
2021-04-26,32.599998,33.080002,32.400002,32.68,32.68,1450025
2021-04-27,32.48,32.919998,31.799999,31.959999,31.959999,1451400
2021-04-28,31.799999,32.240002000000004,31.52,31.84,31.84,1363875
2021-04-29,31.24,32.880001,31.120001000000002,31.639999,31.639999,1812350
2021-04-30,32.32,33.200001,31.879998999999998,32.919998,32.919998,2013575
2021-05-03,32.119999,32.400002,31.68,31.68,31.68,1594175
2021-05-04,32.560001,34.720001,32.32,32.880001,32.880001,4343800
2021-05-05,32.360001000000004,32.84,31.52,32.119999,32.119999,1730950
2021-05-06,32.200001,33.48,31.799999,31.92,31.92,2482675
2021-05-07,31.879998999999998,31.959999,29.92,30.0,30.0,2521825
2021-05-10,30.0,31.440001000000002,29.48,31.32,31.32,2914525
2021-05-11,33.200001,34.52,32.16,33.759997999999996,33.759997999999996,6348375
2021-05-12,35.040001000000004,40.880001,34.959998999999996,39.560001,39.560001,10893075
2021-05-13,37.32,37.400002,35.0,35.84,35.84,5997875
2021-05-14,33.880001,33.919998,31.24,31.639999,31.639999,3229400
2021-05-17,32.32,33.880001,31.639999,32.279999,32.279999,3041475
2021-05-18,32.200001,33.240002000000004,31.440001000000002,33.16,33.16,3698900
2021-05-19,35.32,37.959998999999996,34.439999,34.599998,34.599998,9490675
2021-05-20,33.720001,34.200001,32.400002,32.759997999999996,32.759997999999996,4108300
2021-05-21,32.16,32.759997999999996,31.799999,32.32,32.32,3389100
2021-05-24,31.68,31.68,30.52,30.84,30.84,2521725
2021-05-25,30.639999,31.4,30.6,30.84,30.84,2474450
2021-05-26,30.389999,30.49,29.25,29.389999,29.389999,5696400
2021-05-27,29.049999,29.07,27.77,27.959999,27.959999,5092700
2021-05-28,27.66,28.450001,27.530001000000002,28.360001,28.360001,3961900
2021-06-01,27.719998999999998,29.1,27.559998999999998,29.07,29.07,3672500
2021-06-02,28.74,29.0,27.91,28.360001,28.360001,3315200
